ticker,adjusted_purchase_volume,estimated_purchase_volume,purchase_speculation,purchase_count,purchase_count_individual,purchase_days_ago,purchase_owner,purchase_confidence,adjusted_sale_volume,estimated_sale_volume,sale_speculation,sale_count,sale_count_individual,sale_days_ago,sale_owner,sale_confidence,date,volume_net,score,price_change
SPSC,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.62
OMCL,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.78
WCN,1.0,8000.5,0,1,1,38.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,8000.5,1.37,1.34
TECH,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.93
SHOO,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.01
FET,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.5
MASI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.23
PRIM,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.97
RBA,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.89
CVLT,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.82
TXRH,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.03
GILD,6.0,97501.5,0,3,1,28.0,['Sheldon Whitehouse'],0.5770000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,97501.5,4.84,0.86
DRQ,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.73
TGT,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,23.0,['Thomas R Carper'],0.0040000000000000036,2015-02-20,-8000.5,-0.01,0.97
MCD,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,32500.5,0,1,1,37.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-32500.5,-0.18,1.28
HUBG,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.93
PBH,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.27
LL,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.21
HBI,2.0,16001.0,0,2,1,12.5,['Thomas R Carper'],1.1123529411764708,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,16001.0,4.53,0.88
