WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:55,328 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:55,564 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:01,279 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:01,304 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:01,327 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:01,347 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:03,117 | >>> WARNING: No available date within two weeks for 'GSS' on '2022-04-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:07,802 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:09,249 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:11,023 | >>> WARNING: No available date within two weeks for 'TACO' on '2023-03-03'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:11,042 | >>> WARNING: No available date within two weeks for 'TACO' on '2023-03-03'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:13,720 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:13,741 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:14,246 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:14,463 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:18,631 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:18,650 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:18,670 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:18,690 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:20,223 | >>> WARNING: No available date within two weeks for 'GSS' on '2022-04-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:24,105 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:25,462 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:28,381 | >>> WARNING: No available date within two weeks for 'TACO' on '2023-03-03'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:28,399 | >>> WARNING: No available date within two weeks for 'TACO' on '2023-03-03'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:31,135 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:31,146 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:32,081 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:32,313 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:37,849 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:37,868 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:37,889 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:37,908 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:20:39,398 | >>> WARNING: No available date within two weeks for 'GSS' on '2022-04-18'.
